Name,Price,Day,League
Awakener's Orb,245,9,Scourge
Awakener's Orb,314.52056,10,Scourge
Awakener's Orb,375,11,Scourge
Awakener's Orb,372,12,Scourge
Awakener's Orb,300,13,Scourge
Awakener's Orb,300,14,Scourge
Awakener's Orb,302.0649,15,Scourge
Awakener's Orb,307.5,16,Scourge
Awakener's Orb,315,17,Scourge
Awakener's Orb,331.93199,18,Scourge
Awakener's Orb,350,19,Scourge
Awakener's Orb,367.5,20,Scourge
Awakener's Orb,367.5,21,Scourge
Awakener's Orb,367.5,22,Scourge
Awakener's Orb,362.5,23,Scourge
Awakener's Orb,362.5,24,Scourge
Awakener's Orb,362.5,25,Scourge
Awakener's Orb,365,26,Scourge
Awakener's Orb,362.5,27,Scourge
Awakener's Orb,362.5,28,Scourge
Awakener's Orb,290,29,Scourge
Hunter's Exalted Orb,99.02714,1,Scourge
Hunter's Exalted Orb,100.9902,2,Scourge
Hunter's Exalted Orb,108.33224,3,Scourge
Hunter's Exalted Orb,114.67901,4,Scourge
Hunter's Exalted Orb,111.698,5,Scourge
Hunter's Exalted Orb,116.478,6,Scourge
Hunter's Exalted Orb,130,7,Scourge
Hunter's Exalted Orb,144.32615,8,Scourge
Hunter's Exalted Orb,146.83753,9,Scourge
Hunter's Exalted Orb,161.90812,10,Scourge
Hunter's Exalted Orb,187.5,11,Scourge
Hunter's Exalted Orb,186,12,Scourge
Hunter's Exalted Orb,180,13,Scourge
Hunter's Exalted Orb,181.25334,14,Scourge
Hunter's Exalted Orb,181.5,15,Scourge
Hunter's Exalted Orb,184.5,16,Scourge
Hunter's Exalted Orb,188.30753,17,Scourge
Hunter's Exalted Orb,199.15919,18,Scourge
Hunter's Exalted Orb,209.94094,19,Scourge
Hunter's Exalted Orb,220.5,20,Scourge
Hunter's Exalted Orb,220.5,21,Scourge
Hunter's Exalted Orb,220.32504,22,Scourge
Hunter's Exalted Orb,217.5,23,Scourge
Hunter's Exalted Orb,217.20006,24,Scourge
Hunter's Exalted Orb,217.5,25,Scourge
Hunter's Exalted Orb,218.68427,26,Scourge
Hunter's Exalted Orb,217.5,27,Scourge
Hunter's Exalted Orb,217.5,28,Scourge
Hunter's Exalted Orb,217.45,29,Scourge
Exalted Orb,34.45318,1,Scourge
Exalted Orb,63,2,Scourge
Exalted Orb,70,3,Scourge
Exalted Orb,79,4,Scourge
Exalted Orb,80,5,Scourge
